Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Coffee Type,Roast Type,Size,Unit Price,Sales,Coffee Name,Roast Type Seed
QEV-37451-860,05/09/2019,17670-51384-MA,R-M-1,2,Aloisia Allner,aallner0@lulu.com,United States,Rob,M,1.0kg,$9.95,$19.90,Robusta,Medium
QEV-37451-860,05/09/2019,17670-51384-MA,E-M-0.5,5,Aloisia Allner,aallner0@lulu.com,United States,Exc,M,0.5kg,$8.25,$41.25,Excelsia,Medium
FAA-43335-268,17/06/2021,21125-22134-PX,A-L-1,1,Jami Redholes,jredholes2@tmall.com,United States,Ara,L,1.0kg,$12.95,$12.95,Arabica,Light
KAC-83089-793,15/07/2021,23806-46781-OU,E-M-1,2,Christoffer O' Shea,,Ireland,Exc,M,1.0kg,$13.75,$27.50,Excelsia,Medium
KAC-83089-793,15/07/2021,23806-46781-OU,R-L-2.5,2,Christoffer O' Shea,,Ireland,Rob,L,2.5kg,$27.49,$54.97,Robusta,Light
CVP-18956-553,04/08/2021,86561-91660-RB,L-D-1,3,Beryle Cottier,,United States,Lib,D,1.0kg,$12.95,$38.85,Librica,Dark
IPP-31994-879,21/01/2022,65223-29612-CB,E-D-0.5,3,Shaylynn Lobe,slobe6@nifty.com,United States,Exc,D,0.5kg,$7.29,$21.87,Excelsia,Dark
SNZ-65340-705,20/05/2022,21134-81676-FR,L-L-0.2,1,Melvin Wharfe,,Ireland,Lib,L,0.2kg,$4.76,$4.76,Librica,Light
EZT-46571-659,02/01/2019,03396-68805-ZC,R-M-0.5,3,Guthrey Petracci,gpetracci8@livejournal.com,United States,Rob,M,0.5kg,$5.97,$17.91,Robusta,Medium
NWQ-70061-912,05/09/2019,61021-27840-ZN,R-M-0.5,1,Rodger Raven,rraven9@ed.gov,United States,Rob,M,0.5kg,$5.97,$5.97,Robusta,Medium
BKK-47233-845,08/03/2021,76239-90137-UQ,A-D-1,4,Ferrell Ferber,fferbera@businesswire.com,United States,Ara,D,1.0kg,$9.95,$39.80,Arabica,Dark
VQR-01002-970,28/10/2020,49315-21985-BB,E-L-2.5,5,Duky Phizackerly,dphizackerlyb@utexas.edu,United States,Exc,L,2.5kg,$34.16,$170.78,Excelsia,Light
SZW-48378-399,02/07/2022,34136-36674-OM,R-M-1,5,Rosaleen Scholar,rscholarc@nyu.edu,United States,Rob,M,1.0kg,$9.95,$49.75,Robusta,Medium
ITA-87418-783,22/05/2020,39396-12890-PE,R-D-2.5,2,Terence Vanyutin,tvanyutind@wix.com,United States,Rob,D,2.5kg,$20.59,$41.17,Robusta,Dark
GNZ-46006-527,05/04/2022,95875-73336-RG,L-D-0.2,3,Patrice Trobe,ptrobee@wunderground.com,United States,Lib,D,0.2kg,$3.89,$11.66,Librica,Dark
FYQ-78248-319,07/06/2022,25473-43727-BY,R-M-2.5,5,Llywellyn Oscroft,loscroftf@ebay.co.uk,United States,Rob,M,2.5kg,$22.89,$114.43,Robusta,Medium
VAU-44387-624,20/03/2019,99643-51048-IQ,A-M-0.2,6,Minni Alabaster,malabasterg@hexun.com,United States,Ara,M,0.2kg,$3.38,$20.25,Arabica,Medium
RDW-33155-159,19/10/2019,62173-15287-CU,A-L-1,6,Rhianon Broxup,rbroxuph@jimdo.com,United States,Ara,L,1.0kg,$12.95,$77.70,Arabica,Light
TDZ-59011-211,13/06/2019,57611-05522-ST,R-D-2.5,4,Pall Redford,predfordi@ow.ly,Ireland,Rob,D,2.5kg,$20.59,$82.34,Robusta,Dark
IDU-25793-399,04/12/2020,76664-37050-DT,A-M-0.2,5,Aurea Corradino,acorradinoj@harvard.edu,United States,Ara,M,0.2kg,$3.38,$16.88,Arabica,Medium
IDU-25793-399,04/12/2020,76664-37050-DT,E-D-0.2,4,Aurea Corradino,acorradinoj@harvard.edu,United States,Exc,D,0.2kg,$3.65,$14.58,Excelsia,Dark
NUO-20013-488,04/12/2020,03090-88267-BQ,A-D-0.2,6,Avrit Davidowsky,adavidowskyl@netvibes.com,United States,Ara,D,0.2kg,$2.99,$17.91,Arabica,Dark
UQU-65630-479,22/01/2021,37651-47492-NC,R-M-2.5,4,Annabel Antuk,aantukm@kickstarter.com,United States,Rob,M,2.5kg,$22.89,$91.54,Robusta,Medium
FEO-11834-332,11/02/2022,95399-57205-HI,A-D-0.2,4,Iorgo Kleinert,ikleinertn@timesonline.co.uk,United States,Ara,D,0.2kg,$2.99,$11.94,Arabica,Dark
TKY-71558-096,15/09/2021,24010-66714-HW,A-M-1,1,Chrisy Blofeld,cblofeldo@amazon.co.uk,United States,Ara,M,1.0kg,$11.25,$11.25,Arabica,Medium
OXY-65322-253,24/10/2020,07591-92789-UA,E-M-0.2,3,Culley Farris,,United States,Exc,M,0.2kg,$4.13,$12.38,Excelsia,Medium
EVP-43500-491,20/02/2019,49231-44455-IC,A-M-0.5,4,Selene Shales,sshalesq@umich.edu,United States,Ara,M,0.5kg,$6.75,$27.00,Arabica,Medium
WAG-26945-689,08/10/2019,50124-88608-EO,A-M-0.2,5,Vivie Danneil,vdanneilr@mtv.com,Ireland,Ara,M,0.2kg,$3.38,$16.88,Arabica,Medium
CHE-78995-767,02/08/2022,00888-74814-UZ,A-D-0.5,3,Theresita Newbury,tnewburys@usda.gov,Ireland,Ara,D,0.5kg,$5.97,$17.91,Arabica,Dark
RYZ-14633-602,20/02/2019,14158-30713-OB,A-D-1,4,Mozelle Calcutt,mcalcuttt@baidu.com,Ireland,Ara,D,1.0kg,$9.95,$39.80,Arabica,Dark
WOQ-36015-429,25/09/2021,51427-89175-QJ,L-M-0.2,5,Adrian Swaine,,United States,Lib,M,0.2kg,$4.37,$21.83,Librica,Medium
WOQ-36015-429,25/09/2021,51427-89175-QJ,A-D-0.5,6,Adrian Swaine,,United States,Ara,D,0.5kg,$5.97,$35.82,Arabica,Dark
WOQ-36015-429,25/09/2021,51427-89175-QJ,L-M-0.5,6,Adrian Swaine,,United States,Lib,M,0.5kg,$8.73,$52.38,Librica,Medium
SCT-60553-454,17/07/2021,39123-12846-YJ,L-L-0.2,5,Gallard Gatheral,ggatheralx@123-reg.co.uk,United States,Lib,L,0.2kg,$4.76,$23.78,Librica,Light
GFK-52063-244,29/06/2020,44981-99666-XB,L-L-0.5,6,Una Welberry,uwelberryy@ebay.co.uk,United Kingdom,Lib,L,0.5kg,$9.51,$57.06,Librica,Light
AMM-79521-378,01/06/2021,24825-51803-CQ,A-D-0.5,6,Faber Eilhart,feilhartz@who.int,United States,Ara,D,0.5kg,$5.97,$35.82,Arabica,Dark
QUQ-90580-772,06/02/2021,77634-13918-GJ,L-M-0.2,2,Zorina Ponting,zponting10@altervista.org,United States,Lib,M,0.2kg,$4.37,$8.73,Librica,Medium
LGD-24408-274,25/04/2019,13694-25001-LX,L-L-0.5,3,Silvio Strase,sstrase11@booking.com,United States,Lib,L,0.5kg,$9.51,$28.53,Librica,Light
HCT-95608-959,25/04/2020,08523-01791-TI,R-M-2.5,5,Dorie de la Tremoille,dde12@unesco.org,United States,Rob,M,2.5kg,$22.89,$114.43,Robusta,Medium
OFX-99147-470,24/11/2021,49860-68865-AB,R-M-1,6,Hy Zanetto,,United States,Rob,M,1.0kg,$9.95,$59.70,Robusta,Medium
LUO-37559-016,19/04/2021,21240-83132-SP,L-M-1,3,Jessica McNess,,United States,Lib,M,1.0kg,$14.55,$43.65,Librica,Medium
XWC-20610-167,07/07/2022,08350-81623-TF,E-D-0.2,2,Lorenzo Yeoland,lyeoland15@pbs.org,United States,Exc,D,0.2kg,$3.65,$7.29,Excelsia,Dark
GPU-79113-136,22/05/2019,73284-01385-SJ,R-D-0.2,3,Abigail Tolworthy,atolworthy16@toplist.cz,United States,Rob,D,0.2kg,$2.69,$8.06,Robusta,Dark
ULR-52653-960,04/10/2021,04152-34436-IE,L-L-2.5,2,Maurie Bartol,,United States,Lib,L,2.5kg,$36.46,$72.91,Librica,Light
HPI-42308-142,11/04/2020,06631-86965-XP,E-M-0.5,2,Olag Baudassi,obaudassi18@seesaa.net,United States,Exc,M,0.5kg,$8.25,$16.50,Excelsia,Medium
XHI-30227-581,31/01/2022,54619-08558-ZU,L-D-2.5,6,Petey Kingsbury,pkingsbury19@comcast.net,United States,Lib,D,2.5kg,$29.79,$178.71,Librica,Dark
DJH-05202-380,07/11/2019,85589-17020-CX,E-M-2.5,2,Donna Baskeyfied,,United States,Exc,M,2.5kg,$31.63,$63.25,Excelsia,Medium
VMW-26889-781,28/06/2019,36078-91009-WU,A-L-0.2,2,Arda Curley,acurley1b@hao123.com,United States,Ara,L,0.2kg,$3.89,$7.77,Arabica,Light
DBU-81099-586,11/09/2020,15770-27099-GX,A-D-2.5,4,Raynor McGilvary,rmcgilvary1c@tamu.edu,United States,Ara,D,2.5kg,$22.89,$91.54,Arabica,Dark
PQA-54820-810,17/08/2022,91460-04823-BX,A-L-1,3,Isis Pikett,ipikett1d@xinhuanet.com,United States,Ara,L,1.0kg,$12.95,$38.85,Arabica,Light
XKB-41924-202,19/08/2022,45089-52817-WN,L-D-0.5,2,Inger Bouldon,ibouldon1e@gizmodo.com,United States,Lib,D,0.5kg,$7.77,$15.54,Librica,Dark
DWZ-69106-473,15/05/2019,76447-50326-IC,L-L-2.5,4,Karry Flanders,kflanders1f@over-blog.com,Ireland,Lib,L,2.5kg,$36.46,$145.82,Librica,Light
YHV-68700-050,11/09/2019,26333-67911-OL,R-M-0.5,5,Hartley Mattioli,hmattioli1g@webmd.com,United Kingdom,Rob,M,0.5kg,$5.97,$29.85,Robusta,Medium
YHV-68700-050,11/09/2019,26333-67911-OL,L-L-2.5,2,Hartley Mattioli,hmattioli1g@webmd.com,United Kingdom,Lib,L,2.5kg,$36.46,$72.91,Librica,Light
KRB-88066-642,16/03/2021,22107-86640-SB,L-M-1,5,Archambault Gillard,agillard1i@issuu.com,United States,Lib,M,1.0kg,$14.55,$72.75,Librica,Medium
LQU-08404-173,03/12/2020,09960-34242-LZ,L-L-1,3,Salomo Cushworth,,United States,Lib,L,1.0kg,$15.85,$47.55,Librica,Light
CWK-60159-881,27/01/2020,04671-85591-RT,E-D-0.2,3,Theda Grizard,tgrizard1k@odnoklassniki.ru,United States,Exc,D,0.2kg,$3.65,$10.94,Excelsia,Dark
EEG-74197-843,17/07/2022,25729-68859-UA,E-L-1,4,Rozele Relton,rrelton1l@stanford.edu,United States,Exc,L,1.0kg,$14.85,$59.40,Excelsia,Light
UCZ-59708-525,04/03/2022,05501-86351-NX,L-D-2.5,3,Willa Rolling,,United States,Lib,D,2.5kg,$29.79,$89.36,Librica,Dark
HUB-47311-849,07/12/2021,04521-04300-OK,L-M-0.5,3,Stanislaus Gilroy,sgilroy1n@eepurl.com,United States,Lib,M,0.5kg,$8.73,$26.19,Librica,Medium
WYM-17686-694,25/02/2021,58689-55264-VK,A-D-2.5,5,Correy Cottingham,ccottingham1o@wikipedia.org,United States,Ara,D,2.5kg,$22.89,$114.43,Arabica,Dark
ZYQ-15797-695,25/02/2019,79436-73011-MM,R-D-0.5,5,Pammi Endacott,,United Kingdom,Rob,D,0.5kg,$5.37,$26.85,Robusta,Dark
EEJ-16185-108,09/02/2019,65552-60476-KY,L-L-0.2,5,Nona Linklater,,United States,Lib,L,0.2kg,$4.76,$23.78,Librica,Light
RWR-77888-800,07/02/2020,69904-02729-YS,A-M-0.5,1,Annadiane Dykes,adykes1r@eventbrite.com,United States,Ara,M,0.5kg,$6.75,$6.75,Arabica,Medium
LHN-75209-742,23/03/2020,01433-04270-AX,R-M-0.5,6,Felecia Dodgson,,United States,Rob,M,0.5kg,$5.97,$35.82,Robusta,Medium
TIR-71396-998,06/03/2022,14204-14186-LA,R-D-2.5,4,Angelia Cockrem,acockrem1t@engadget.com,United States,Rob,D,2.5kg,$20.59,$82.34,Robusta,Dark
RXF-37618-213,15/04/2022,32948-34398-HC,R-L-0.5,1,Belvia Umpleby,bumpleby1u@soundcloud.com,United States,Rob,L,0.5kg,$7.17,$7.17,Robusta,Light
ANM-16388-634,19/11/2021,77343-52608-FF,L-L-0.2,2,Nat Saleway,nsaleway1v@dedecms.com,United States,Lib,L,0.2kg,$4.76,$9.51,Librica,Light
WYL-29300-070,16/10/2019,42770-36274-QA,R-M-0.2,1,Hayward Goulter,hgoulter1w@abc.net.au,United States,Rob,M,0.2kg,$2.99,$2.99,Robusta,Medium
JHW-74554-805,26/11/2019,14103-58987-ZU,R-M-1,6,Gay Rizzello,grizzello1x@symantec.com,United Kingdom,Rob,M,1.0kg,$9.95,$59.70,Robusta,Medium
KYS-27063-603,30/06/2019,69958-32065-SW,E-L-2.5,4,Shannon List,slist1y@mapquest.com,United States,Exc,L,2.5kg,$34.16,$136.62,Excelsia,Light
GAZ-58626-277,04/01/2021,69533-84907-FA,L-L-0.2,2,Shirlene Edmondson,sedmondson1z@theguardian.com,Ireland,Lib,L,0.2kg,$4.76,$9.51,Librica,Light
RPJ-37787-335,27/10/2020,76005-95461-CI,A-M-2.5,3,Aurlie McCarl,,United States,Ara,M,2.5kg,$25.88,$77.63,Arabica,Medium
LEF-83057-763,15/06/2021,15395-90855-VB,L-M-0.2,5,Alikee Carryer,,United States,Lib,M,0.2kg,$4.37,$21.83,Librica,Medium
RPW-36123-215,19/07/2021,80640-45811-LB,E-L-0.5,2,Jennifer Rangall,jrangall22@newsvine.com,United States,Exc,L,0.5kg,$8.91,$17.82,Excelsia,Light
WLL-59044-117,23/07/2021,28476-04082-GR,R-D-1,6,Kipper Boorn,kboorn23@ezinearticles.com,Ireland,Rob,D,1.0kg,$8.95,$53.70,Robusta,Dark
AWT-22827-563,25/01/2020,12018-75670-EU,R-L-0.2,1,Melania Beadle,,Ireland,Rob,L,0.2kg,$3.59,$3.59,Robusta,Light
QLM-07145-668,09/05/2019,86437-17399-FK,E-D-0.2,2,Colene Elgey,celgey25@webs.com,United States,Exc,D,0.2kg,$3.65,$7.29,Excelsia,Dark
HVQ-64398-930,30/03/2020,62979-53167-ML,A-M-0.5,6,Lothaire Mizzi,lmizzi26@rakuten.co.jp,United States,Ara,M,0.5kg,$6.75,$40.50,Arabica,Medium
WRT-40778-247,13/03/2022,54810-81899-HL,R-L-1,4,Cletis Giacomazzo,cgiacomazzo27@jigsy.com,United States,Rob,L,1.0kg,$11.95,$47.80,Robusta,Light
SUB-13006-125,17/04/2019,26103-41504-IB,A-L-0.5,5,Ami Arnow,aarnow28@arizona.edu,United States,Ara,L,0.5kg,$7.77,$38.85,Arabica,Light
CQM-49696-263,25/10/2019,76534-45229-SG,L-L-2.5,3,Sheppard Yann,syann29@senate.gov,United States,Lib,L,2.5kg,$36.46,$109.37,Librica,Light
KXN-85094-246,13/09/2019,81744-27332-RR,L-M-2.5,3,Bunny Naulls,bnaulls2a@tiny.cc,Ireland,Lib,M,2.5kg,$33.47,$100.40,Librica,Medium
XOQ-12405-419,12/04/2020,91513-75657-PH,R-D-2.5,4,Hally Lorait,,United States,Rob,D,2.5kg,$20.59,$82.34,Robusta,Dark
HYF-10254-369,14/11/2019,30373-66619-CB,L-L-0.5,1,Zaccaria Sherewood,zsherewood2c@apache.org,United States,Lib,L,0.5kg,$9.51,$9.51,Librica,Light
XXJ-47000-307,18/07/2019,31582-23562-FM,A-L-2.5,3,Jeffrey Dufaire,jdufaire2d@fc2.com,United States,Ara,L,2.5kg,$29.79,$89.36,Arabica,Light
XXJ-47000-307,18/07/2019,31582-23562-FM,A-D-0.2,4,Jeffrey Dufaire,jdufaire2d@fc2.com,United States,Ara,D,0.2kg,$2.99,$11.94,Arabica,Dark
ZDK-82166-357,03/04/2021,81431-12577-VD,A-M-1,3,Beitris Keaveney,bkeaveney2f@netlog.com,United States,Ara,M,1.0kg,$11.25,$33.75,Arabica,Medium
IHN-19982-362,29/03/2021,68894-91205-MP,R-L-1,3,Elna Grise,egrise2g@cargocollective.com,United States,Rob,L,1.0kg,$11.95,$35.85,Robusta,Light
VMT-10030-889,15/12/2021,87602-55754-VN,A-L-1,6,Torie Gottelier,tgottelier2h@vistaprint.com,United States,Ara,L,1.0kg,$12.95,$77.70,Arabica,Light
NHL-11063-100,20/05/2020,39181-35745-WH,A-L-1,4,Loydie Langlais,,Ireland,Ara,L,1.0kg,$12.95,$51.80,Arabica,Light
ROV-87448-086,02/11/2020,30381-64762-NG,A-M-2.5,4,Adham Greenhead,agreenhead2j@dailymail.co.uk,United States,Ara,M,2.5kg,$25.88,$103.50,Arabica,Medium
DGY-35773-612,25/07/2020,17503-27693-ZH,E-L-1,3,Hamish MacSherry,,United States,Exc,L,1.0kg,$14.85,$44.55,Excelsia,Light
YWH-50638-556,14/03/2019,89442-35633-HJ,E-L-0.5,4,Else Langcaster,elangcaster2l@spotify.com,United Kingdom,Exc,L,0.5kg,$8.91,$35.64,Excelsia,Light
ISL-11200-600,02/07/2020,13654-85265-IL,A-D-0.2,6,Rudy Farquharson,,Ireland,Ara,D,0.2kg,$2.99,$17.91,Arabica,Dark
LBZ-75997-047,17/12/2019,40946-22090-FP,A-M-2.5,6,Norene Magauran,nmagauran2n@51.la,United States,Ara,M,2.5kg,$25.88,$155.25,Arabica,Medium
EUH-08089-954,06/12/2020,29050-93691-TS,A-D-0.2,2,Vicki Kirdsch,vkirdsch2o@google.fr,United States,Ara,D,0.2kg,$2.99,$5.97,Arabica,Dark
BLD-12227-251,04/03/2021,64395-74865-WF,A-M-0.5,2,Ilysa Whapple,iwhapple2p@com.com,United States,Ara,M,0.5kg,$6.75,$13.50,Arabica,Medium
OPY-30711-853,17/07/2021,81861-66046-SU,A-D-0.2,1,Ruy Cancellieri,,Ireland,Ara,D,0.2kg,$2.99,$2.99,Arabica,Dark
DBC-44122-300,04/11/2020,13366-78506-KP,L-M-0.2,3,Aube Follett,,United States,Lib,M,0.2kg,$4.37,$13.10,Librica,Medium
FJQ-60035-234,05/04/2021,08847-29858-HN,A-L-0.2,2,Rudiger Di Bartolomeo,,United States,Ara,L,0.2kg,$3.89,$7.77,Arabica,Light
HSF-66926-425,01/03/2020,00539-42510-RY,L-D-2.5,5,Nickey Youles,nyoules2t@reference.com,Ireland,Lib,D,2.5kg,$29.79,$148.93,Librica,Dark
LQG-41416-375,19/10/2021,45190-08727-NV,L-D-1,3,Dyanna Aizikovitz,daizikovitz2u@answers.com,Ireland,Lib,D,1.0kg,$12.95,$38.85,Librica,Dark
VZO-97265-841,08/07/2022,87049-37901-FU,R-M-0.2,4,Bram Revel,brevel2v@fastcompany.com,United States,Rob,M,0.2kg,$2.99,$11.94,Robusta,Medium
MOR-12987-399,17/08/2019,34015-31593-JC,L-M-1,6,Emiline Priddis,epriddis2w@nationalgeographic.com,United States,Lib,M,1.0kg,$14.55,$87.30,Librica,Medium
UOA-23786-489,31/05/2020,90305-50099-SV,A-M-0.5,6,Queenie Veel,qveel2x@jugem.jp,United States,Ara,M,0.5kg,$6.75,$40.50,Arabica,Medium
AJL-52941-018,05/05/2020,55871-61935-MF,E-D-1,2,Lind Conyers,lconyers2y@twitter.com,United States,Exc,D,1.0kg,$12.15,$24.30,Excelsia,Dark
XSZ-84273-421,14/04/2019,15405-60469-TM,R-M-0.5,3,Pen Wye,pwye2z@dagondesign.com,United States,Rob,M,0.5kg,$5.97,$17.91,Robusta,Medium
NUN-48214-216,29/07/2020,06953-94794-FB,A-M-0.5,4,Isahella Hagland,,United States,Ara,M,0.5kg,$6.75,$27.00,Arabica,Medium
AKV-93064-769,12/12/2019,22305-40299-CY,L-D-0.5,1,Terry Sheryn,tsheryn31@mtv.com,United States,Lib,D,0.5kg,$7.77,$7.77,Librica,Dark
BRB-40903-533,15/06/2022,09020-56774-GU,E-L-0.2,3,Marie-jeanne Redgrave,mredgrave32@cargocollective.com,United States,Exc,L,0.2kg,$4.46,$13.37,Excelsia,Light
